internship_title,internship_company,required_skills,internship_location,required_education,Stipend,mode,duration
Quality Inspector,AARTI INDUSTRIES LTD,"Structural Design, Project Management, Estimation",Mumbai,BCA,"3,991.00",online,6 months
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc,"8,768.00",hybrid,9 months
Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA,"4,909.00",in-person,7 months
Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc,"8,488.00",in-person,2 months
Relationship Manager,DCB BANK LIMITED,"Wealth Management, Financial Modeling, Auditing, Taxation",Jaipur,M.Sc,"8,541.00",in-person,6 months
Quality Inspector,ULTRATECH CEMENT LIMITED,"Construction Management, Quality Control, Surveying",Ahmedabad,BA,"7,411.00",in-person,10 months
QA Engineer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cybersecurity, Cloud Computing",Chennai,B.Sc,"6,369.00",in-person,12 months
Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc,"7,683.00",hybrid,4 months
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech,"6,148.00",in-person,8 months
Loan Officer,AXIS BANK LIMITED,"Taxation, Risk Management, Investment Banking, Wealth Management",Remote,PhD,"7,139.00",in-person,6 months
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma,"3,965.00",online,4 months
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA,"1,559.00",hybrid,5 months
QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech,"4,137.00",in-person,3 months
Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma,"4,087.00",hybrid,7 months
DevOps Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Python, Machine Learning, SQL",Mumbai,BCA,"9,130.00",hybrid,12 months
Relationship Manager,HDFC BANK LIMITED,"Loan Processing, Financial Modeling, Auditing, Accounting",Mumbai,M.Sc,"7,175.00",in-person,6 months
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc,"5,791.00",in-person,10 months
Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA,"1,536.00",in-person,4 months
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA,"1,821.00",hybrid,4 months
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA,"7,225.00",online,12 months
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA,"7,029.00",online,9 months
Data Analyst,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"Cloud Computing, Java",Lucknow,B.Com,"6,060.00",hybrid,7 months
Software Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"React, Cloud Computing, Cybersecurity",Remote,B.Tech,"9,029.00",in-person,11 months
Distribution Executive,DIVI S LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Sales",Pune,Diploma,"6,765.00",hybrid,5 months
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD,"3,712.00",in-person,10 months
Consumer Insights Analyst,ALKEM LABORATORIES LIMITED,"Consumer Insights, Distribution, Brand Management, Retail Management",Pune,Diploma,"8,805.00",in-person,12 months
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com,"6,875.00",in-person,3 months
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Construction Management",Ahmedabad,M.Sc,"7,035.00",online,7 months
Product Manager,MICRO LABS LIMITED,"Retail Management, Supply Chain",Mumbai,BBA,"9,575.00",in-person,2 months
IT Support,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Cloud Computing, Data Analysis",Pune,B.Com,"2,882.00",online,12 months
Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA,"3,372.00",in-person,11 months
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc,"6,930.00",hybrid,5 months
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech,"8,275.00",hybrid,7 months
QA Engineer,GENPACT INDIA PRIVATE LIMITED,"JavaScript, SQL, Machine Learning",Hyderabad,BBA,"2,894.00",hybrid,12 months
Web Developer,REC LIMITED,"Data Analysis, DevOps, Java",Mumbai,BCA,"4,279.00",in-person,6 months
Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Distribution, Retail Management, Sales",Lucknow,PhD,"6,580.00",in-person,9 months
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc,"9,580.00",hybrid,11 months
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc,"7,083.00",online,12 months
Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA,"6,600.00",in-person,3 months
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA,"4,563.00",in-person,3 months
Mining Engineer,MOIL LIMITED,"Geology, Ore Processing",Mumbai,BBA,"5,663.00",hybrid,5 months
Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc,"4,102.00",in-person,11 months
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"Python, JavaScript, Java, Cybersecurity",Pune,B.Sc,"2,697.00",online,3 months
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com,"5,740.00",hybrid,8 months
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc,"6,043.00",online,3 months
QA Engineer,DLF LIMITED,"DevOps, JavaScript",Lucknow,MBA,"7,419.00",online,9 months
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech,"3,534.00",hybrid,8 months
Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA,"5,717.00",hybrid,4 months
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA,"6,631.00",in-person,7 months
Treasury Analyst,RBL BANK LIMITED,"Auditing, Taxation",Remote,PhD,"6,832.00",online,8 months
Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma,"4,546.00",hybrid,12 months
Petroleum Engineer,INDIAN OIL CORPORATION LIMITED,"Geology, Drilling Operations",Delhi,BCA,"2,932.00",in-person,5 months
IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA,"3,411.00",in-person,7 months
IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA,"7,124.00",hybrid,7 months
Software Developer,TATA CAPITAL FINANCIAL SERVICES LIMITED,"SQL, Data Analysis, DevOps",Lucknow,BCA,"4,629.00",online,6 months
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA,"4,364.00",hybrid,4 months
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA,"8,251.00",online,2 months
Grid Engineer,SHYAM SEL AND POWER LIMITED,"Renewable Energy, Thermal Power, Electrical Engineering, Maintenance",Hyderabad,M.Sc,"9,335.00",hybrid,5 months
Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com,"1,756.00",online,4 months
Quality Inspector,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Civil Engineering, Construction Management, Structural Design",Ahmedabad,B.Tech,"7,867.00",hybrid,6 months
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma,"7,323.00",hybrid,12 months
Web Developer,HCL TECHNOLOGIES LIMITED,"Data Analysis, Cloud Computing, Python",Pune,B.Com,"2,657.00",in-person,9 months
Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc,"7,723.00",online,4 months
Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD,"3,635.00",in-person,6 months
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech,"6,667.00",online,11 months
IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, SQL",Bangalore,B.Com,"9,465.00",hybrid,12 months
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"JavaScript, DevOps",Kolkata,B.Sc,"5,511.00",hybrid,11 months
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Quality Control",Ahmedabad,B.Com,"3,289.00",online,6 months
QA Engineer,ZEROIDA BROKING LIMITED,"Cloud Computing, Machine Learning, DevOps",Hyderabad,BCA,"3,365.00",online,4 months
Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA,"4,956.00",hybrid,10 months
Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA,"2,285.00",online,12 months
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA,"3,080.00",online,4 months
Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech,"9,846.00",in-person,6 months
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc,"8,929.00",online,2 months
Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA,"8,005.00",in-person,7 months
Data Analyst,SUNDARAM FINANCE LIMITED,"Python, DevOps, Machine Learning, JavaScript",Delhi,PhD,"8,735.00",hybrid,12 months
Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD,"3,818.00",hybrid,5 months
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD,"9,682.00",online,4 months
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma,"7,670.00",hybrid,2 months
IT Support,POLYCAB INDIA LIMITED,"Cybersecurity, Cloud Computing, React, DevOps",Bangalore,PhD,"2,909.00",hybrid,2 months
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA,"7,821.00",hybrid,2 months
Surveyor,FINOLEX INDUSTRIES LIMITED,"Quality Control, Safety Management, Surveying",Mumbai,BBA,"9,034.00",in-person,3 months
Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech,"3,687.00",online,6 months
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma,"8,280.00",in-person,6 months
Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA,"9,408.00",in-person,12 months
Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech,"9,975.00",in-person,10 months
Project Engineer,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Structural Design, Project Management, Quality Control",Pune,B.Com,"9,364.00",online,2 months
DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma,"8,249.00",online,5 months
5G Specialist,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"IoT, Network Engineering, Wireless Communication",Hyderabad,B.Com,"2,448.00",in-person,11 months
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc,"6,438.00",hybrid,9 months
Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA,"2,018.00",online,7 months
Surveyor,PRAKASH INDUSTRIES LIMITED,"Mineral Processing, Safety Management",Jaipur,B.Tech,"5,787.00",online,9 months
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech,"5,057.00",in-person,5 months
Distribution Executive,EMCURE PHARMACEUTICALS LIMITED,"Marketing, Product Development",Ahmedabad,BA,"9,201.00",in-person,2 months
Software Developer,BA CONTINUUM INDIA PRIVATE LIMITED,"Cybersecurity, SQL",Jaipur,BA,"5,734.00",online,6 months
Software Developer,TOPCON SOKKIA INDIA PRIVATE LIMITED,"JavaScript, SQL, Python, DevOps",Remote,BBA,"7,889.00",hybrid,12 months
Supply Chain Analyst,UPL LIMITED,"Brand Management, Distribution",Kolkata,B.Sc,"3,152.00",online,10 months
IT Support,ASIAN PAINTS LIMITED,"Data Analysis, SQL, Cloud Computing, Machine Learning",Remote,Diploma,"5,903.00",hybrid,9 months
Marketing Executive,GODREJ CONSUMER PRODUCTS LIMITED,"Distribution, Product Development, Sales, Marketing",Bangalore,BA,"6,214.00",hybrid,3 months
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech,"3,660.00",hybrid,6 months
Machine Learning Engineer,KOTAK MAHINDRA PRIME LIMITED,"Cloud Computing, Machine Learning, Java",Ahmedabad,BBA,"6,632.00",in-person,2 months
Quality Inspector,ENGINEERS INDIA LIMITED,"Project Management, Surveying, Construction Management",Ahmedabad,B.Sc,"8,202.00",online,10 months
Project Engineer,AMBUJA CEMENTS LIMITED,"Safety Management, Project Management",Chennai,BCA,"3,783.00",online,6 months
Safety Officer,ORISSA METALIKS PRIVATE LIMITED,"Environmental Compliance, Surveying",Mumbai,MBA,"4,032.00",hybrid,7 months
Site Engineer,BIRLA CARBON INDIA PRIVATE LIMITED,"Surveying, Estimation",Lucknow,BCA,"5,680.00",in-person,4 months
DevOps Engineer,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Java, React, Machine Learning, Cloud Computing",Lucknow,BA,"7,540.00",hybrid,4 months
Structural Engineer,GHARDA CHEMICALS LIMITED,"Construction Management, Structural Design",Chennai,BA,"8,999.00",in-person,10 months
Surveyor,COROMANDEL INTERNATIONAL LIMITED,"Civil Engineering, Construction Management, Safety Management, Project Management",Ahmedabad,M.Sc,"7,092.00",online,2 months
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc,"5,695.00",online,5 months
Sales Executive,AVENUE SUPERMARTS LIMITED,"Distribution, Sales",Jaipur,Diploma,"9,548.00",in-person,10 months
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA,"6,396.00",hybrid,4 months
Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma,"8,048.00",in-person,11 months
Machine Learning Engineer,HDFC ASSET MANAGEMENT COMPANY LIMITED,"Python, React",Jaipur,B.Sc,"4,847.00",online,10 months
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech,"2,563.00",hybrid,2 months
Civil Engineer,NCC LIMITED,"Civil Engineering, Safety Management",Kolkata,BBA,"5,354.00",hybrid,2 months
Structural Engineer,KNR CONSTRUCTIONS LIMITED,"Safety Management, Surveying, Civil Engineering, Project Management",Remote,MBA,"2,812.00",hybrid,7 months
Civil Engineer,JCB INDIA LIMITED,"Project Management, Construction Management, Structural Design",Remote,B.Com,"7,754.00",hybrid,11 months
Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com,"4,783.00",online,3 months
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma,"8,090.00",online,11 months
Safety Officer,PKC INFRATECH LIMITED,"Construction Management, Project Management",Bangalore,PhD,"2,216.00",hybrid,5 months
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA,"7,290.00",in-person,6 months
Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com,"3,037.00",hybrid,12 months
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc,"5,271.00",in-person,6 months
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma,"5,843.00",hybrid,10 months
Software Developer,TATA CAPITAL FINANCIAL SERVICES LIMITED,"SQL, Data Analysis, DevOps",Lucknow,BCA,"2,511.00",in-person,11 months
DevOps Engineer,SKF INDIA LIMITED,"DevOps, SQL",Lucknow,B.Com,"4,182.00",online,9 months
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com,"7,764.00",online,6 months
IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA,"3,486.00",in-person,11 months
Credit Analyst,CITY UNION BANK LIMITED,"Financial Analysis, Financial Modeling, Investment Banking, Wealth Management",Jaipur,M.Sc,"1,714.00",hybrid,5 months
Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc,"3,629.00",online,4 months
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Thermal Power, Renewable Energy",Remote,MBA,"3,997.00",online,12 months
IT Support,SAMMAAN CAPITAL LIMITED,"React, JavaScript",Delhi,BCA,"4,241.00",in-person,3 months
Drilling Engineer,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"Safety Compliance, Petroleum Engineering, Drilling Operations, Geology",Jaipur,BCA,"2,115.00",hybrid,3 months
Software Developer,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"React, Java, Machine Learning, Data Analysis",Ahmedabad,M.Sc,"6,992.00",hybrid,8 months
Data Analyst,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Java, React, DevOps, Cloud Computing",Mumbai,B.Com,"4,452.00",hybrid,8 months
IT Support,MALABAR GOLD LIMITED,"Machine Learning, Data Analysis",Jaipur,PhD,"8,215.00",hybrid,8 months
Credit Analyst,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Financial Analysis, Accounting, Investment Banking",Hyderabad,BBA,"5,650.00",online,11 months
Site Engineer,APCO INFRATECH PRIVATE LIMITED,"Civil Engineering, Quality Control, Safety Management, Surveying",Lucknow,BBA,"2,857.00",online,6 months
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA,"3,287.00",hybrid,7 months
Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc,"5,858.00",online,2 months
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Taxation, Auditing, Investment Banking, Financial Modeling",Chennai,BBA,"2,909.00",in-person,11 months
Geologist,HINDUSTAN ZINC LIMITED,"Geology, Exploration, Safety Management, Surveying",Delhi,B.Tech,"5,688.00",online,11 months
Network Engineer,BHARTI TELEMEDIA LIMITED,"Wireless Communication, IoT, RF Engineering, Network Engineering",Chennai,B.Tech,"1,570.00",online,3 months
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma,"4,928.00",in-person,6 months
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com,"1,691.00",in-person,10 months
Environmental Officer,TATA STEEL LIMITED,"Geology, Ore Processing",Pune,BBA,"7,342.00",in-person,5 months
Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA,"7,156.00",hybrid,4 months
