candidate_skills,candidate_location,candidate_education,internship_title,internship_company,required_skills,internship_location,required_education
"Materials Science, Process Engineering",Chennai,M.Sc,QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com
"Materials Science, Process Engineering",Chennai,M.Sc,Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
"Materials Science, Process Engineering",Chennai,M.Sc,Exploration Geologist,JINDAL ALUMINIUM LIMITED,"Ore Processing, Exploration, Geology",Hyderabad,B.Com
"Materials Science, Process Engineering",Chennai,M.Sc,IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
"Materials Science, Process Engineering",Chennai,M.Sc,Software Developer,PRESTIGE ESTATES PROJECTS LIMITED,"Cybersecurity, Java, SQL",Pune,B.Com
"Materials Science, Process Engineering",Chennai,M.Sc,Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Web Developer,SUN TV NETWORK LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Site Engineer,BHILOSA INDUSTRIES PRIVATE LIMITED,"Project Management, Quality Control, Civil Engineering, Safety Management",Chennai,B.Sc
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Mining Engineer,JINDAL SAW LIMITED,"Mining Engineering, Environmental Compliance",Delhi,B.Sc
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Renewable Energy Specialist,NHPC LIMITED,"Power Plant Operations, Electrical Engineering",Mumbai,Diploma
"Broadcasting, Production, Digital Marketing, Social Media",Jaipur,BCA,Power Plant Operator,INDIAN ENERGY EXCHANGE LIMITED,"Electrical Engineering, Renewable Energy",Jaipur,BCA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Surveyor,IREL (INDIA) LIMITED,"Safety Management, Geology",Bangalore,MBA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Quality Inspector,AARTI INDUSTRIES LTD,"Structural Design, Project Management, Estimation",Mumbai,BCA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Relationship Manager,DCB BANK LIMITED,"Wealth Management, Financial Modeling, Auditing, Taxation",Jaipur,M.Sc
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Quality Inspector,ULTRATECH CEMENT LIMITED,"Construction Management, Quality Control, Surveying",Ahmedabad,BA
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,QA Engineer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cybersecurity, Cloud Computing",Chennai,B.Sc
"Safety Management, Mining Engineering, Surveying",Kolkata,B.Sc,Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Loan Officer,AXIS BANK LIMITED,"Taxation, Risk Management, Investment Banking, Wealth Management",Remote,PhD
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,DevOps Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Python, Machine Learning, SQL",Mumbai,BCA
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Relationship Manager,HDFC BANK LIMITED,"Loan Processing, Financial Modeling, Auditing, Accounting",Mumbai,M.Sc
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
"Drilling, Surveying, Mining Operations, Safety Management, Research, Brewing, Quality Control, Sales",Mumbai,BCA,Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Data Analyst,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"Cloud Computing, Java",Lucknow,B.Com
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Software Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"React, Cloud Computing, Cybersecurity",Remote,B.Tech
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Distribution Executive,DIVI S LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Sales",Pune,Diploma
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Consumer Insights Analyst,ALKEM LABORATORIES LIMITED,"Consumer Insights, Distribution, Brand Management, Retail Management",Pune,Diploma
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com
"Environmental Compliance, Production, Quality Control, Process Engineering, Welding, Testing",Lucknow,B.Tech,Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Construction Management",Ahmedabad,M.Sc
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Product Manager,MICRO LABS LIMITED,"Retail Management, Supply Chain",Mumbai,BBA
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,IT Support,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Cloud Computing, Data Analysis",Pune,B.Com
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,QA Engineer,GENPACT INDIA PRIVATE LIMITED,"JavaScript, SQL, Machine Learning",Hyderabad,BBA
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Web Developer,REC LIMITED,"Data Analysis, DevOps, Java",Mumbai,BCA
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Distribution, Retail Management, Sales",Lucknow,PhD
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc
"Telecom Infrastructure, Data Transmission, Wireless Communication",Pune,BBA,Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Mining Engineer,MOIL LIMITED,"Geology, Ore Processing",Mumbai,BBA
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"Python, JavaScript, Java, Cybersecurity",Pune,B.Sc
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,QA Engineer,DLF LIMITED,"DevOps, JavaScript",Lucknow,MBA
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech
"Regulatory Affairs, Drug Development, Patient Care, Clinical Research",Delhi,Diploma,Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Treasury Analyst,RBL BANK LIMITED,"Auditing, Taxation",Remote,PhD
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Petroleum Engineer,INDIAN OIL CORPORATION LIMITED,"Geology, Drilling Operations",Delhi,BCA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Software Developer,TATA CAPITAL FINANCIAL SERVICES LIMITED,"SQL, Data Analysis, DevOps",Lucknow,BCA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA
"Brand Management, Distribution, Financial Analysis, Accounting, Loan Processing",Lucknow,MBA,Grid Engineer,SHYAM SEL AND POWER LIMITED,"Renewable Energy, Thermal Power, Electrical Engineering, Maintenance",Hyderabad,M.Sc
"Mining Operations, Quality Control",Kolkata,M.Sc,Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
"Mining Operations, Quality Control",Kolkata,M.Sc,Quality Inspector,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Civil Engineering, Construction Management, Structural Design",Ahmedabad,B.Tech
"Mining Operations, Quality Control",Kolkata,M.Sc,Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
"Mining Operations, Quality Control",Kolkata,M.Sc,Web Developer,HCL TECHNOLOGIES LIMITED,"Data Analysis, Cloud Computing, Python",Pune,B.Com
"Mining Operations, Quality Control",Kolkata,M.Sc,Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc
"Mining Operations, Quality Control",Kolkata,M.Sc,Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD
"Mining Operations, Quality Control",Kolkata,M.Sc,Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech
"Mining Operations, Quality Control",Kolkata,M.Sc,IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, SQL",Bangalore,B.Com
"Mining Operations, Quality Control",Kolkata,M.Sc,Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"JavaScript, DevOps",Kolkata,B.Sc
"Mining Operations, Quality Control",Kolkata,M.Sc,Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Quality Control",Ahmedabad,B.Com
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,QA Engineer,ZEROIDA BROKING LIMITED,"Cloud Computing, Machine Learning, DevOps",Hyderabad,BCA
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Data Analyst,SUNDARAM FINANCE LIMITED,"Python, DevOps, Machine Learning, JavaScript",Delhi,PhD
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD
"Maintenance, Power Plant Operations, Electrical Engineering, Quality Control, Materials Science, Aerospace Engineering, Avionics, Production, Environmental Compliance, Safety Management",Chennai,Diploma,Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,IT Support,POLYCAB INDIA LIMITED,"Cybersecurity, Cloud Computing, React, DevOps",Bangalore,PhD
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Surveyor,FINOLEX INDUSTRIES LIMITED,"Quality Control, Safety Management, Surveying",Mumbai,BBA
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,Project Engineer,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Structural Design, Project Management, Quality Control",Pune,B.Com
"Structural Engineering, Testing, Quality Control, Surveying, Civil Engineering, Environmental Compliance",Delhi,BCA,DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma
"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,5G Specialist,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"IoT, Network Engineering, Wireless Communication",Hyderabad,B.Com
"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,Surveyor,PRAKASH INDUSTRIES LIMITED,"Mineral Processing, Safety Management",Jaipur,B.Tech
"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech
