internship_title,internship_company,required_skills,internship_location,required_education
Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
Surveyor,PRAKASH INDUSTRIES LIMITED,"Mineral Processing, Safety Management",Jaipur,B.Tech
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech
Distribution Executive,EMCURE PHARMACEUTICALS LIMITED,"Marketing, Product Development",Ahmedabad,BA
Software Developer,BA CONTINUUM INDIA PRIVATE LIMITED,"Cybersecurity, SQL",Jaipur,BA
Software Developer,TOPCON SOKKIA INDIA PRIVATE LIMITED,"JavaScript, SQL, Python, DevOps",Remote,BBA
Supply Chain Analyst,UPL LIMITED,"Brand Management, Distribution",Kolkata,B.Sc
IT Support,ASIAN PAINTS LIMITED,"Data Analysis, SQL, Cloud Computing, Machine Learning",Remote,Diploma
Marketing Executive,GODREJ CONSUMER PRODUCTS LIMITED,"Distribution, Product Development, Sales, Marketing",Bangalore,BA
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech
Machine Learning Engineer,KOTAK MAHINDRA PRIME LIMITED,"Cloud Computing, Machine Learning, Java",Ahmedabad,BBA
Quality Inspector,ENGINEERS INDIA LIMITED,"Project Management, Surveying, Construction Management",Ahmedabad,B.Sc
Project Engineer,AMBUJA CEMENTS LIMITED,"Safety Management, Project Management",Chennai,BCA
Safety Officer,ORISSA METALIKS PRIVATE LIMITED,"Environmental Compliance, Surveying",Mumbai,MBA
Site Engineer,BIRLA CARBON INDIA PRIVATE LIMITED,"Surveying, Estimation",Lucknow,BCA
DevOps Engineer,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Java, React, Machine Learning, Cloud Computing",Lucknow,BA
Structural Engineer,GHARDA CHEMICALS LIMITED,"Construction Management, Structural Design",Chennai,BA
Surveyor,COROMANDEL INTERNATIONAL LIMITED,"Civil Engineering, Construction Management, Safety Management, Project Management",Ahmedabad,M.Sc
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc
Sales Executive,AVENUE SUPERMARTS LIMITED,"Distribution, Sales",Jaipur,Diploma
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA
Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma
Machine Learning Engineer,HDFC ASSET MANAGEMENT COMPANY LIMITED,"Python, React",Jaipur,B.Sc
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Civil Engineer,NCC LIMITED,"Civil Engineering, Safety Management",Kolkata,BBA
Structural Engineer,KNR CONSTRUCTIONS LIMITED,"Safety Management, Surveying, Civil Engineering, Project Management",Remote,MBA
Civil Engineer,JCB INDIA LIMITED,"Project Management, Construction Management, Structural Design",Remote,B.Com
Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
Safety Officer,PKC INFRATECH LIMITED,"Construction Management, Project Management",Bangalore,PhD
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA
Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
Software Developer,TATA CAPITAL FINANCIAL SERVICES LIMITED,"SQL, Data Analysis, DevOps",Lucknow,BCA
DevOps Engineer,SKF INDIA LIMITED,"DevOps, SQL",Lucknow,B.Com
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com
IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA
Credit Analyst,CITY UNION BANK LIMITED,"Financial Analysis, Financial Modeling, Investment Banking, Wealth Management",Jaipur,M.Sc
Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Thermal Power, Renewable Energy",Remote,MBA
IT Support,SAMMAAN CAPITAL LIMITED,"React, JavaScript",Delhi,BCA
Drilling Engineer,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"Safety Compliance, Petroleum Engineering, Drilling Operations, Geology",Jaipur,BCA
Software Developer,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"React, Java, Machine Learning, Data Analysis",Ahmedabad,M.Sc
Data Analyst,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Java, React, DevOps, Cloud Computing",Mumbai,B.Com
IT Support,MALABAR GOLD LIMITED,"Machine Learning, Data Analysis",Jaipur,PhD
Credit Analyst,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Financial Analysis, Accounting, Investment Banking",Hyderabad,BBA
Site Engineer,APCO INFRATECH PRIVATE LIMITED,"Civil Engineering, Quality Control, Safety Management, Surveying",Lucknow,BBA
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA
Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Taxation, Auditing, Investment Banking, Financial Modeling",Chennai,BBA
Geologist,HINDUSTAN ZINC LIMITED,"Geology, Exploration, Safety Management, Surveying",Delhi,B.Tech
Network Engineer,BHARTI TELEMEDIA LIMITED,"Wireless Communication, IoT, RF Engineering, Network Engineering",Chennai,B.Tech
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com
Environmental Officer,TATA STEEL LIMITED,"Geology, Ore Processing",Pune,BBA
Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA
Cloud Architect,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Python, React, SQL, Machine Learning",Chennai,BCA
Marketing Executive,PIRAMAL ENTERPRISES LIMITED,"Brand Management, Supply Chain, Consumer Insights, Product Development",Bangalore,BBA
Loan Officer,AXIS BANK LIMITED,"Taxation, Risk Management, Investment Banking, Wealth Management",Remote,PhD
IT Support,TECH MAHINDRA LIMITED,"SQL, Machine Learning, Python",Jaipur,B.Com
Project Engineer,RUNGTA SONS PVT LTD,"Project Management, Safety Management, Quality Control, Civil Engineering",Jaipur,BA
Product Manager,ABBOTT INDIA LIMITED,"Product Development, Distribution, Retail Management, Marketing",Chennai,PhD
Risk Analyst,AXIS BANK LIMITED,"Financial Analysis, Investment Banking, Taxation",Delhi,B.Com
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
Consumer Insights Analyst,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Marketing, Consumer Insights, Supply Chain",Pune,Diploma
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
Marketing Executive,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Brand Management, Supply Chain, Marketing, Product Development",Jaipur,BA
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
Web Developer,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Cybersecurity, SQL",Delhi,B.Sc
DevOps Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Python, React, Machine Learning",Jaipur,B.Com
Reservoir Engineer,HPCL-MITTAL ENERGY LIMITED,"Geology, Pipeline Maintenance, Reservoir Engineering",Chennai,MBA
QA Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Machine Learning, Data Analysis",Remote,B.Sc
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Manufacturing, Embedded Systems, R&D",Hyderabad,PhD
Project Engineer,TATA POWER DELHI DISTRIBUTION LIMITED,"Grid Management, Maintenance, Energy Efficiency",Ahmedabad,MBA
Mineral Processing Engineer,KIOCL LIMITED,"Ore Processing, Environmental Compliance, Exploration, Surveying",Chennai,B.Sc
Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech
Design Engineer,TATA POWER DELHI DISTRIBUTION LIMITED,"Transmission, Power Plant Operations, Thermal Power, Electrical Engineering",Jaipur,M.Sc
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"SQL, Java, DevOps",Ahmedabad,BA
Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma
Risk Analyst,THE KARNATAKA BANK LIMITED,"Financial Analysis, Risk Management, Wealth Management, Financial Modeling",Mumbai,M.Sc
Site Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Construction Management, Civil Engineering, Surveying",Lucknow,PhD
Construction Manager,AARTI INDUSTRIES LTD,"Safety Management, Estimation, Project Management, Civil Engineering",Ahmedabad,M.Sc
Structural Engineer,TRIDENT LIMITED,"Safety Management, Surveying, Quality Control, Estimation",Lucknow,Diploma
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Manufacturing, Embedded Systems, R&D",Hyderabad,PhD
DevOps Engineer,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Java, React, Machine Learning, Cloud Computing",Lucknow,BA
Transportation Specialist,ADANI HARBOUR SERVICES LIMITED,"Supply Chain Management, Warehouse Operations, Transportation",Mumbai,M.Sc
Loan Officer,IDFC FIRST BANK LIMITED,"Taxation, Wealth Management",Hyderabad,B.Tech
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc
Product Manager,RSPL LIMITED,"Sales, Consumer Insights, Marketing",Pune,BA
DevOps Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"Machine Learning, JavaScript, Cloud Computing, Python",Lucknow,Diploma
Structural Engineer,TRIDENT LIMITED,"Safety Management, Surveying, Quality Control, Estimation",Lucknow,Diploma
Marketing Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Marketing, Brand Management, Retail Management, Supply Chain",Lucknow,PhD
Mining Engineer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Exploration, Mineral Processing",Jaipur,BCA
Project Engineer,3M INDIA LIMITED,"Construction Management, Structural Design",Chennai,B.Sc
Safety Officer,FINOLEX INDUSTRIES LIMITED,"Civil Engineering, Safety Management, Estimation, Construction Management",Delhi,M.Sc
Web Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"JavaScript, Python, SQL",Mumbai,PhD
Marketing Executive,PI INDUSTRIES LIMITED,"Consumer Insights, Marketing",Jaipur,M.Sc
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Structural Engineer,KNR CONSTRUCTIONS LIMITED,"Safety Management, Surveying, Civil Engineering, Project Management",Remote,MBA
IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
